ticker,name,sector,cik,annual_period,annual_filed,core_metric_coverage_pct,extended_metric_coverage_pct,data_status,data_quality_flags,history_revenue_4y,history_opinc_4y,history_fcf_4y,history_diluted_shares_4y,sbc_current_present,revenue_cagr3_present,opinc_cagr3_present,fcf_cagr3_present,fcf_per_share_cagr3_present,market_price_present,market_cap_present,market_data_present
AMAT,APPLIED MATERIALS INC,-,6951.0,20251031.0,20251212.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
UNH,UNITEDHEALTH GROUP INC,-,731766.0,20251231.0,20260302.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
GE,GENERAL ELECTRIC,-,40545.0,20251231.0,20260129.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,False,True,False,False,True,False,True,False,True,True,True
KO,COCA COLA CO/THE,-,21344.0,20251231.0,20260220.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
NFLX,NETFLIX INC,-,1065280.0,20251231.0,20260123.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
PG,PROCTER + GAMBLE CO/THE,-,80424.0,20250630.0,20250804.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,True,True,True,True,False,True,True,True
HD,HOME DEPOT INC,-,354950.0,20260131.0,20260318.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
PANW,PALO ALTO NETWORKS INC,-,1327567.0,20250731.0,20250829.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,False,True,True,True,True,True
GS,GOLDMAN SACHS GROUP INC,-,886982.0,20251231.0,20260225.0,83.3,75.0,PARTIAL,MISSING_REVENUE,False,False,True,True,True,False,False,False,False,True,True,True
PM,PHILIP MORRIS INTERNATIONAL,-,1413329.0,20251231.0,20260206.0,83.3,87.5,PARTIAL,MISSING_DILUTED_SHARES,True,True,True,False,False,True,True,True,False,True,True,True
RTX,RTX CORP,-,101829.0,20251231.0,20260206.0,100.0,100.0,PRESENT,OK,True,True,False,True,True,True,True,False,False,True,True,True
WFC,WELLS FARGO + CO,-,72971.0,20251231.0,20260224.0,83.3,75.0,PARTIAL,MISSING_REVENUE,False,False,False,True,False,False,False,False,False,True,True,True
MS,MORGAN STANLEY,-,895421.0,20251231.0,20260219.0,83.3,62.5,PARTIAL,MISSING_REVENUE,False,False,False,True,True,False,False,False,False,True,True,True
ORCL,ORACLE CORP,-,1341439.0,20260531.0,20260622.0,100.0,87.5,PRESENT,OK,True,True,True,True,True,True,True,False,False,True,True,True
GEV,GE VERNOVA INC,-,1996810.0,20251231.0,20260129.0,100.0,87.5,PRESENT,OK,False,False,False,False,False,False,False,False,False,True,True,True
TXN,TEXAS INSTRUMENTS INC,-,97476.0,20251231.0,20260206.0,100.0,100.0,PRESENT,OK,True,True,True,True,True,True,True,True,True,True,True,True
CRWD,CROWDSTRIKE HOLDINGS INC A,-,1535527.0,20260131.0,20260305.0,83.3,87.5,PARTIAL,MISSING_REVENUE,False,True,True,True,True,False,False,True,True,True,True,True
SNDK,SANDISK CORP,-,2023554.0,20250630.0,20250821.0,100.0,100.0,PRESENT,OK,False,False,False,False,True,False,False,False,False,True,True,True
